family,candidate,round,iterations,work_items,elapsed_ns,items_per_second,checksum,state_bytes,unit
broadphase_sparse,naive,0,305852,4893632,99359840,49251609.101,1682187,0,attacker_queries
broadphase_dense,sweep_rebuild,0,61228,979648,97803216,10016521.338,696470,0,attacker_queries
numeric_motion,hybrid_int_position_float_velocity,0,2887,11825152,103538398,114210304.857,2592684200359348522,98304,fighter_ticks
broadphase_dense,naive,0,84031,1344496,109422761,12287169.394,955853,0,attacker_queries
numeric_motion,fixed_q16_16,0,27857,114102272,96720449,1179711975.903,5114672997083190090,65536,fighter_ticks
state_dispatch,switch,0,4878,159842304,100040850,1597770350.812,1431480254094629911,294912,entity_dispatches
layout_update,hot_cold_split,0,2312,75759616,93384867,811262235.882,9835848422266164690,2359296,entity_updates
numeric_motion,float32,0,19609,80318464,98432486,815975164.947,5809389148921457387,65536,fighter_ticks
state_dispatch,data_table,0,14372,470941696,100870141,4668791887.581,463686832922926989,294912,entity_dispatches
layout_update,aos_with_cold,0,1786,58523648,103107303,567599445.405,6126265558611129152,2359296,entity_updates
broadphase_dense,grid_16x16,0,218688,3499008,96112677,36405270.451,2487576,2048,attacker_queries
layout_update,soa,0,12376,405536768,97786229,4147176674.540,504033715703006143,2359296,entity_updates
broadphase_sparse,sweep_rebuild,0,492834,7885344,93413680,84413160.899,2710588,0,attacker_queries
snapshot_64k,tracked_dirty_8x64,0,2834956,2834956,100331380,28255925.514,15415350360390020090,528,snapshots
world_resolution,world_256_u8,0,22020,90193920,95167985,947733841.375,582423745202475247,16384,fighter_ticks
snapshot_64k,full_copy_restore,0,34395,34395,111382170,308801.669,11454064898595554491,65536,snapshots
snapshot_64k,scan_delta_64byte_chunks,0,66434,66434,100870670,658605.718,2425371727853661043,65536,snapshots
world_resolution,world_4096_u16,0,22903,93810688,97971459,957530784.552,6026945843039854204,32768,fighter_ticks
numeric_motion,cell_256_int8,0,12932,52969472,98335029,538663307.864,4953305751670994776,16384,fighter_ticks
broadphase_sparse,bitboard_256x256,0,256867,4109872,97463491,42168323.316,1412769,8192,attacker_queries
broadphase_sparse,grid_16x16,0,515385,8246160,102572015,80393857.915,2834618,2048,attacker_queries
broadphase_dense,bitboard_256x256,0,128842,2061472,96933546,21266858.431,1465579,8192,attacker_queries
state_dispatch,function_table,0,370,12124160,97510619,124336817.101,4741419544511688588,294912,entity_dispatches
layout_update,hot_cold_split,1,2312,75759616,98397075,769937683.615,9835848422266164690,2359296,entity_updates
layout_update,soa,1,12376,405536768,94661010,4284095088.358,504033715703006143,2359296,entity_updates
broadphase_dense,naive,1,84031,1344496,98679433,13624885.745,955853,0,attacker_queries
broadphase_dense,grid_16x16,1,218688,3499008,96843146,36130672.583,2487576,2048,attacker_queries
broadphase_dense,sweep_rebuild,1,61228,979648,94636633,10351678.509,696470,0,attacker_queries
world_resolution,world_4096_u16,1,22903,93810688,97134986,965776512.286,6026945843039854204,32768,fighter_ticks
snapshot_64k,scan_delta_64byte_chunks,1,66434,66434,100432052,661482.054,2425371727853661043,65536,snapshots
broadphase_sparse,naive,1,305852,4893632,96073025,50936587.039,1682187,0,attacker_queries
numeric_motion,cell_256_int8,1,12932,52969472,101302390,522884721.673,4953305751670994776,16384,fighter_ticks
world_resolution,world_256_u8,1,22020,90193920,96000003,939519970.640,582423745202475247,16384,fighter_ticks
broadphase_sparse,sweep_rebuild,1,492834,7885344,94467275,83471699.591,2710588,0,attacker_queries
snapshot_64k,full_copy_restore,1,34395,34395,100356729,342727.392,11454064898595554491,65536,snapshots
numeric_motion,float32,1,19609,80318464,96819106,829572460.626,5809389148921457387,65536,fighter_ticks
